date,state,positive,negative,pending,hospitalized,death,total,hash,dateChecked,totalTestResults,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negativeJump,positiveJump,bigFlag <- negativeJump - positiveJump,bigFlag
20200324,NJ,3675,8325,45,NA,44,12045,c6c52e836d2fee611e885afb7e2a185ba929022a,2020-03-24T20:00:00Z,12000,34,17,0,7966,831,8797,0.9568768768768768,0.22612244897959183,0.7307544278972851,0.7307544278972851
20200308,NJ,6,31,0,NA,NA,37,add7ac59302398b9e66f60342bd8b09d2f4fea06,2020-03-08T20:00:00Z,37,34,0,0,31,2,33,1,0.3333333333333333,0.6666666666666667,0.6666666666666667
20200325,NJ,4402,10452,NA,NA,62,14854,d30471a7dce5d19a5dfae58a586231e98ec5cd93,2020-03-25T20:00:00Z,14854,34,18,0,2127,727,2854,0.20350172215843856,0.16515220354384372,0.038349518614594846,0.038349518614594846
20200320,NJ,890,264,86,NA,11,1240,9eaacfa20d2b718bcfd23ad14ec25598cc75dfb7,2020-03-20T20:00:00Z,1154,34,2,0,54,148,202,0.20454545454545456,0.1662921348314607,0.03825331971399387,0.03825331971399387
20200312,NJ,30,74,20,NA,1,124,fd237fbcfa02674c128d670b9aba484dd6d56e31,2020-03-12T20:00:00Z,104,34,0,0,17,6,23,0.22972972972972974,0.2,0.02972972972972973,0.02972972972972973
20200314,NJ,50,97,80,NA,1,227,77285acc62233f7638a439fd3259511e613b75a8,2020-03-14T20:00:00Z,147,34,0,0,0,0,0,0,0,0,0
20200327,NJ,8825,16547,NA,NA,108,25372,0d39578151f81e5673a2dcc01976b9571e5aa75d,2020-03-27T20:00:00Z,25372,34,27,0,2886,1949,4835,0.17441228017163232,0.22084985835694051,-0.04643757818530819,-0.04643757818530819
20200310,NJ,15,44,20,NA,NA,79,193ca4d3523e754f39d086f19aa53ad7413808ea,2020-03-10T20:00:00Z,59,34,0,0,9,4,13,0.20454545454545456,0.26666666666666666,-0.062121212121212105,-0.062121212121212105
20200317,NJ,267,163,55,NA,3,485,cf3cd5b3b730589fbd3732d947843107ec844efe,2020-03-17T20:00:00Z,430,34,1,0,43,89,132,0.26380368098159507,0.3333333333333333,-0.06952965235173825,-0.06952965235173825
20200326,NJ,6876,13661,NA,NA,81,20537,34f7a9a850720f81a711f094945383400616d38d,2020-03-26T20:00:00Z,20537,34,19,0,3209,2474,5683,0.234902276553693,0.3598022105875509,-0.1248999340338579,-0.1248999340338579
20200311,NJ,24,57,20,NA,1,101,0d156c4ee76bd446cec325fb3af4dbd500598eb3,2020-03-11T20:00:00Z,81,34,1,0,13,9,22,0.22807017543859648,0.375,-0.14692982456140352,-0.14692982456140352
20200313,NJ,50,97,80,NA,1,227,b90d62b34393a027ee7f3ccd42227a0e77f0ab5c,2020-03-13T20:00:00Z,147,34,0,0,23,20,43,0.23711340206185566,0.4,-0.16288659793814436,-0.16288659793814436
20200322,NJ,1914,327,49,NA,20,2290,0a48105abe9f1a446436c35bebb0773310fcb30f,2020-03-22T20:00:00Z,2241,34,4,0,33,587,620,0.10091743119266056,0.306687565308255,-0.20577013411559442,-0.20577013411559442
20200321,NJ,1327,294,40,NA,16,1661,a1e24bdfbb42987e818ae4a8ee876aaf0d545567,2020-03-21T20:00:00Z,1621,34,5,0,30,437,467,0.10204081632653061,0.32931424265259984,-0.22727342632606923,-0.22727342632606923
20200318,NJ,427,190,21,NA,5,638,1d6570fedcdce4e3a896dea3ffe6bb960a697892,2020-03-18T20:00:00Z,617,34,2,0,27,160,187,0.14210526315789473,0.3747072599531616,-0.23260199679526689,-0.23260199679526689
20200323,NJ,2844,359,94,NA,27,3297,a87ced5d4bde5f3a8703745bbc9f2c22af017cea,2020-03-23T20:00:00Z,3203,34,7,0,32,930,962,0.08913649025069638,0.3270042194092827,-0.23786772915858634,-0.23786772915858634
20200315,NJ,98,120,34,NA,2,252,4fb7b0656e44dc37a7767730eabcce590399bc46,2020-03-15T20:00:00Z,218,34,1,0,23,48,71,0.19166666666666668,0.4897959183673469,-0.2981292517006803,-0.2981292517006803
20200319,NJ,742,210,74,NA,9,1026,f38021db122e71d3d0859c6bcb3138dce12f7583,2020-03-19T20:00:00Z,952,34,4,0,20,315,335,0.09523809523809523,0.42452830188679247,-0.32929020664869724,-0.32929020664869724
20200309,NJ,11,35,14,NA,NA,60,486b8c0adb2c691e8e7f0f6dae3fb1d3a367def8,2020-03-09T20:00:00Z,46,34,0,0,4,5,9,0.11428571428571428,0.45454545454545453,-0.34025974025974026,-0.34025974025974026
20200316,NJ,178,120,20,NA,2,318,547266d7f32a4fef36e70f0940bf564ca16005a0,2020-03-16T20:00:00Z,298,34,0,0,0,80,80,0,0.449438202247191,-0.449438202247191,-0.449438202247191
20200307,NJ,4,NA,1,NA,NA,5,04832b31a6af3ab47b4581ba7a63af7b47f99521,2020-03-07T21:00:00Z,4,34,0,0,0,3,3,NA,0.75,NA,NA
20200306,NJ,1,NA,NA,NA,NA,1,f1887bafa05767d02e2c80296de2b55300373e95,2020-03-06T21:00:00Z,1,34,0,0,0,0,0,NA,0,NA,NA
20200305,NJ,1,NA,NA,NA,NA,1,76e041363c09e347fdb9a305e0afd5984d455e96,2020-03-05T21:00:00Z,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
