state,election,current
AL,Midterm,R
AK,Midterm,R
AZ,Midterm,R
AR,Midterm,R
CA,Midterm,D
CO,Midterm,D
CT,Midterm,D
DE,Presidential,D
FL,Midterm,R
GA,Midterm,R
HI,Midterm,D
ID,Midterm,R
IL,Midterm,D
IN,Presidential,R
IA,Midterm,R
KS,Midterm,D
KY,Off-year,D
LA,Off-year,D
ME,Midterm,D
MD,Midterm,R
MA,Midterm,R
MI,Midterm,D
MN,Midterm,D
MS,Off-year,R
MO,Presidential,R
MT,Presidential,D
NE,Midterm,R
NV,Midterm,D
NH,Biennial,R
NJ,Off-year,D
NM,Midterm,D
NY,Midterm,D
NC,Presidential,D
ND,Presidential,R
OH,Midterm,R
OK,Midterm,R
OR,Midterm,D
PA,Midterm,D
RI,Midterm,D
SC,Midterm,R
SD,Midterm,R
TN,Midterm,R
TX,Midterm,R
UT,Presidential,R
VT,Biennial,R
VA,Off-year,D
WA,Presidential,D
WV,Presidential,R
WI,Midterm,D
WY,Midterm,R
