"","state","positive","positiveScore","negativeScore","negativeRegularScore","commercialScore","grade","score","negative","pending","hospitalized","death","total","lastUpdateEt","checkTimeEt","dateModified","dateChecked","notes","totalTestResults","election","current","area","urbanization","population","VEP 2018","VEP 2016","VEP off-year","Last_gov_turnout","pos_rate","confirmed_per_100000","tests_per_100000","density","percentile_cases","percentile_deaths","percentile_tests","percentile_pos","lever"
"1","AK",59,1,1,1,1,"A",4,1801,0,3,1,1860,"3/25 21:00","3/26 00:55",2020-03-26 01:00:00,2020-03-26 04:55:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1860,"Midterm","R",665384,0.66,731545,0.55,0.62,0,0.55,0.0317204301075269,8.06512244632934,254.256402545298,1.09943280872398,0.1,0.38,0.26,0.12,0.0317204301075269
"2","AL",440,1,1,0,0,"C",2,2529,0,0,1,2969,"3/25 18:00","3/26 00:11",2020-03-25 22:00:00,2020-03-26 04:11:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2969,"Midterm","R",52420,0.59,4903185,0.47,0.59,0,0.47,0.148198046480296,8.97375889345395,60.5524776242381,93.5365318580694,0.6,0.38,0.42,0.72,0.148198046480296
"3","AR",310,1,1,1,1,"A",4,1504,0,22,2,1814,"3/26 09:30","3/26 09:30",2020-03-26 13:30:00,2020-03-26 13:30:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1814,"Midterm","R",137732,0.562,3017804,0.41,0.53,0,0.41,0.170893054024256,10.2723702400819,60.1099342435758,21.9106961345221,0.44,0.4,0.24,0.82,0.170893054024256
"4","AZ",470,1,1,1,0,"B",3,323,53,8,6,846,"3/25 00:00","3/26 00:50",2020-03-25 04:00:00,2020-03-26 04:50:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",793,"Midterm","R",295234,0.898,7278717,0.47,0.56,0,0.47,0.592686002522068,6.45718194566432,10.8947771976847,24.6540608466505,0.62,0.54,0.08,0.96,0.592686002522068
"5","CA",2588,1,1,1,0,"B",3,15741,48600,0,53,66929,"3/24 17:00","3/25 22:24",2020-03-24 21:00:00,2020-03-26 02:24:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",18329,"Midterm","D",163695,0.95,39512223,0.49,0.58,0,0.49,0.141197010202411,6.54987192191135,46.3881771471071,241.377091542197,0.96,0.92,0.92,0.68,0.141197010202411
"6","CO",1086,1,1,1,1,"A",4,6978,0,147,19,8064,"3/25 18:00","3/26 00:52",2020-03-25 22:00:00,2020-03-26 04:52:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8064,"Midterm","D",269601,0.862,5758736,0.61,0.72,0,0.61,0.134672619047619,18.8583050169343,140.030728965523,21.3602175066116,0.78,0.84,0.7,0.66,0.134672619047619
"7","CT",875,1,1,1,1,"A",4,5023,0,113,19,5898,"3/25 16:00","3/25 22:41",2020-03-25 20:00:00,2020-03-26 02:41:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",5898,"Midterm","D",5543,0.88,3565287,0.55,0.65,0,0.55,0.148355374703289,24.5422037552657,165.428477426922,643.205303987011,0.74,0.84,0.62,0.74,0.148355374703289
"8","DE",119,1,1,0,0,"C",2,36,0,11,0,155,"3/25 17:00","3/25 22:49",2020-03-25 21:00:00,2020-03-26 02:49:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",155,"Presidential","D",2489,0.833,973764,0.51,0.64,0,0.64,0.767741935483871,12.22062019134,15.9176145349387,391.226998794697,0.2,0.18,0.02,0.98,0.767741935483871
"9","FL",1977,1,1,1,1,"A",4,20165,1581,372,23,23723,"3/25 18:00","3/25 22:56",2020-03-25 22:00:00,2020-03-26 02:56:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",22142,"Midterm","R",65758,0.912,21477737,0.54,0.66,0,0.54,0.0892873272513775,9.20488038381325,103.092797905105,326.617856382493,0.9,0.86,0.96,0.56,0.0892873272513775
"10","GA",1387,1,1,1,1,"A",4,4932,0,438,47,6319,"3/25 18:28","3/25 21:30",2020-03-25 22:28:00,2020-03-26 01:30:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6319,"Midterm","R",153910,0.751,10617423,0.54,0.6,0,0.54,0.219496755815794,13.0634335657532,59.5153833467876,68.9846208823338,0.82,0.9,0.64,0.86,0.219496755815794
"11","HI",95,1,1,1,1,"A",4,4357,0,6,1,4452,"3/25 18:00","3/26 09:30",2020-03-25 22:00:00,2020-03-26 13:30:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4452,"Midterm","D",28313,0.919,1415872,0.4,0.43,0,0.4,0.0213387241689128,6.70964606970122,314.435203182209,50.0078409211316,0.16,0.38,0.54,0.04,0.0213387241689128
"12","IA",145,1,1,0,0,"C",2,2578,0,36,1,2723,"3/25 00:00","3/25 16:10",2020-03-25 04:00:00,2020-03-25 20:10:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2723,"Midterm","R",145746,0.64,3155070,0.58,0.69,0,0.58,0.0532500918105031,4.59577758972067,86.3055336331682,21.6477296117904,0.32,0.38,0.38,0.36,0.0532500918105031
"13","ID",123,1,1,1,1,"A",4,2065,0,0,0,2188,"3/25 19:00","3/26 09:27",2020-03-25 23:00:00,2020-03-26 13:27:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2188,"Midterm","R",216443,0.706,1787065,0.49,0.61,0,0.49,0.0562157221206581,6.88279385472828,122.435389871101,8.25651557222918,0.24,0.18,0.32,0.4,0.0562157221206581
"14","IL",1884,1,1,1,1,"A",4,12325,0,0,19,14209,"3/25 00:00","3/25 16:19",2020-03-25 04:00:00,2020-03-25 20:19:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",14209,"Midterm","D",57914,0.885,12671821,0.52,0.63,0,0.52,0.132592019142797,14.8676342571443,112.130687452103,218.804106088338,0.88,0.84,0.86,0.64,0.132592019142797
"15","IN",477,1,1,1,0,"B",3,2879,0,0,14,3356,"3/25 00:59","3/25 23:19",2020-03-25 04:59:00,2020-03-26 03:19:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3356,"Presidential","R",94326,0.724,6732219,0.47,0.58,0,0.58,0.142133492252682,7.08533100304669,49.8498340591713,71.3718274918898,0.64,0.76,0.5,0.7,0.142133492252682
"16","KS",126,1,1,1,0,"B",3,2360,0,0,3,2486,"3/25 12:00","3/25 16:38",2020-03-25 16:00:00,2020-03-25 20:38:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2486,"Midterm","D",82278,0.742,2913314,0.51,0.6,0,0.51,0.0506838294448914,4.32497149294583,85.3323740592329,35.4081771554972,0.26,0.44,0.36,0.34,0.0506838294448914
"17","KY",198,1,1,1,1,"A",4,3102,0,0,4,3300,"3/25 17:00","3/25 23:19",2020-03-25 21:00:00,2020-03-26 03:19:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3300,"Off-year","D",40408,0.584,4467673,0.49,0.6,0.7,0.7,0.06,4.43183733455873,73.8639555759788,110.564071470996,0.38,0.48,0.46,0.42,0.06
"18","LA",1795,1,1,1,1,"A",4,9656,0,491,65,11451,"3/25 13:00","3/25 16:20",2020-03-25 17:00:00,2020-03-25 20:20:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",11451,"Off-year","D",52378,0.732,4648794,0.45,0.61,0.46,0.46,0.156754868570431,38.6121647894056,246.321949305562,88.754706174348,0.84,0.96,0.76,0.78,0.156754868570431
"19","MA",1838,1,1,0,1,"B",3,17956,0,103,15,19794,"3/25 16:00","3/25 16:00",2020-03-25 20:00:00,2020-03-25 20:00:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",19794,"Midterm","R",27336,0.92,6892503,0.55,0.68,0,0.55,0.0928564211377185,26.6666550598527,287.181594262636,252.140144863916,0.86,0.78,0.94,0.62,0.0928564211377185
"20","MD",423,1,0,0,0,"D",1,94,0,0,4,517,"3/25 10:00","3/25 15:33",2020-03-25 14:00:00,2020-03-25 19:33:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",517,"Midterm","R",12406,0.872,6045680,0.54,0.67,0,0.54,0.818181818181818,6.99673155046248,8.55156078389859,487.319039174593,0.56,0.48,0.04,1,0.818181818181818
"21","ME",149,1,1,1,1,"A",4,3177,0,0,0,3326,"3/25 11:30","3/25 16:10",2020-03-25 15:30:00,2020-03-25 20:10:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3326,"Midterm","D",35380,0.387,1344212,0.6,0.73,0,0.6,0.044798556825015,11.0845610662604,247.431208767665,37.9935556811758,0.34,0.18,0.48,0.18,0.044798556825015
"22","MI",2294,1,0,0,0,"D",1,2069,0,0,43,4363,"3/25 15:00","3/25 16:35",2020-03-25 19:00:00,2020-03-25 20:35:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4363,"Midterm","D",96714,0.746,9986857,0.58,0.66,0,0.58,0.525785010314004,22.9701897203495,43.6874183739689,103.261751142544,0.92,0.88,0.52,0.94,0.525785010314004
"23","MN",287,1,1,1,1,"A",4,11188,0,35,1,11475,"3/25 00:00","3/25 14:35",2020-03-25 04:00:00,2020-03-25 18:35:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",11475,"Midterm","D",86936,0.733,5639632,0.64,0.75,0,0.64,0.0250108932461874,5.08898452948703,203.470722912417,64.8710775743075,0.42,0.38,0.78,0.08,0.0250108932461874
"24","MO",356,1,1,0,0,"C",2,369,0,0,8,725,"3/24 16:00","3/25 23:21",2020-03-24 20:00:00,2020-03-26 03:21:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",725,"Presidential","R",69707,0.704,6137428,0.53,0.62,0,0.62,0.491034482758621,5.8004753782855,11.8127658686994,88.0460785860817,0.48,0.62,0.06,0.92,0.491034482758621
"25","MS",377,1,1,1,0,"B",3,1566,0,117,5,1943,"3/25 19:15","3/25 23:24",2020-03-25 23:15:00,2020-03-26 03:24:00,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1943,"Off-year","R",125438,0.493,2976149,0.44,0.55,0.22,0.22,0.194029850746269,12.6673765325594,65.2857098216521,23.726055900126,0.5,0.52,0.28,0.84,0.194029850746269
