state,date,positive,negative,positiveIncrease,negativeIncrease,bigFlag,negativeJump,positiveJump
MO,20200312,1,64,0,64,1,1,0
OK,20200308,1,8,0,8,1,1,0
TN,20200311,7,50,0,50,1,1,0
VI,20200325,17,55,0,55,1,1,0
TX,20200317,64,1204,7,1204,0.890625,1,0.109375
WA,20200306,79,370,9,370,0.886075949367089,1,0.113924050632911
PA,20200311,15,88,3,88,0.8,1,0.2
MA,20200313,123,92,28,92,0.772357723577236,1,0.227642276422764
GA,20200318,197,1311,51,1311,0.741116751269036,1,0.258883248730964
HI,20200318,14,93,4,93,0.714285714285714,1,0.285714285714286
NJ,20200308,6,31,2,31,0.666666666666667,1,0.333333333333333
RI,20200308,3,30,1,30,0.666666666666667,1,0.333333333333333
NC,20200312,12,60,5,60,0.583333333333333,1,0.416666666666667
UT,20200312,4,131,2,131,0.5,1,0.5
IN,20200310,6,30,4,30,0.333333333333333,1,0.666666666666667
WY,20200317,10,95,7,95,0.3,1,0.7
CT,20200308,1,29,1,29,0,1,1
AL,20200322,138,1464,14,1436,0.879425041577572,0.980874316939891,0.101449275362319
OH,20200325,704,14060,140,13920,0.791179037889564,0.990042674253201,0.198863636363636
HI,20200323,56,2955,8,2692,0.76814116509548,0.910998307952623,0.142857142857143
CA,20200316,335,7981,42,7065,0.75985428078253,0.885227415110888,0.125373134328358
AZ,20200327,736,7455,159,7108,0.737421448983758,0.95345405767941,0.216032608695652
NJ,20200324,3675,8325,831,7966,0.730754427897285,0.956876876876877,0.226122448979592
UT,20200319,78,1448,15,1317,0.717222694432639,0.909530386740332,0.192307692307692
IA,20200320,45,642,7,559,0.715160955347871,0.870716510903427,0.155555555555556
CT,20200321,194,2106,0,1502,0.713200379867046,0.713200379867046,0
ND,20200313,1,39,0,27,0.692307692307692,0.692307692307692,0
KS,20200324,98,2086,16,1669,0.636830571154636,0.800095877277085,0.163265306122449
MA,20200314,138,352,15,260,0.629940711462451,0.738636363636364,0.108695652173913
TN,20200324,667,10517,52,7245,0.610923643436435,0.68888466292669,0.077961019490255
SD,20200314,9,182,0,109,0.598901098901099,0.598901098901099,0
NE,20200324,52,975,2,619,0.596410256410256,0.634871794871795,0.038461538461539
DC,20200314,10,49,0,29,0.591836734693878,0.591836734693878,0
AK,20200314,1,143,0,84,0.587412587412587,0.587412587412587,0
KS,20200311,1,41,0,24,0.585365853658537,0.585365853658537,0
PR,20200318,5,31,0,18,0.580645161290323,0.580645161290323,0
LA,20200321,585,2180,106,1612,0.558252960087822,0.739449541284404,0.181196581196581
LA,20200310,1,11,0,6,0.545454545454545,0.545454545454545,0
MS,20200316,12,277,2,193,0.530084235860409,0.696750902527076,0.166666666666667
MA,20200317,218,1541,54,1189,0.523870476099757,0.771576898118105,0.247706422018349
PA,20200316,76,670,13,465,0.522977219167321,0.694029850746269,0.171052631578947
SD,20200313,9,73,1,46,0.519025875190259,0.63013698630137,0.111111111111111
FL,20200321,658,6579,138,4709,0.506035830132812,0.715762273901809,0.209726443768997
CT,20200319,96,604,28,479,0.501379690949227,0.793046357615894,0.291666666666667
MI,20200326,2856,6550,562,4481,0.487343425919986,0.68412213740458,0.196778711484594
NY,20200313,421,2779,205,2687,0.479958699407415,0.966894566390788,0.486935866983373
MT,20200316,7,198,0,95,0.47979797979798,0.47979797979798,0
SD,20200326,46,1973,5,1154,0.476200445139823,0.584896097313735,0.108695652173913
NV,20200319,95,1626,40,1458,0.47562633521072,0.896678966789668,0.421052631578947
NE,20200316,18,170,1,90,0.473856209150327,0.529411764705882,0.055555555555556
CO,20200308,8,104,0,49,0.471153846153846,0.471153846153846,0
PR,20200319,5,56,0,25,0.446428571428571,0.446428571428571,0
SD,20200315,9,327,0,145,0.443425076452599,0.443425076452599,0
TN,20200321,371,3272,143,2709,0.442489241394763,0.827933985330073,0.38544474393531
FL,20200306,9,55,0,24,0.436363636363636,0.436363636363636,0
RI,20200309,3,53,0,23,0.433962264150943,0.433962264150943,0
ND,20200315,1,95,0,41,0.431578947368421,0.431578947368421,0
WA,20200308,102,640,0,270,0.421875,0.421875,0
MN,20200325,287,11188,25,5638,0.41682477118964,0.503932785126922,0.087108013937282
NH,20200314,7,212,1,118,0.413746630727763,0.556603773584906,0.142857142857143
DC,20200311,4,20,-1,3,0.4,0.15,-0.25
OR,20200309,14,165,0,65,0.393939393939394,0.393939393939394,0
WI,20200306,1,31,0,12,0.387096774193548,0.387096774193548,0
RI,20200312,5,94,0,36,0.382978723404255,0.382978723404255,0
MT,20200313,1,55,0,21,0.381818181818182,0.381818181818182,0
NH,20200305,2,16,0,6,0.375,0.375,0
MI,20200312,2,91,0,34,0.373626373626374,0.373626373626374,0
